Czynność,Gdzie,Polecenie
"Ustaw zmienną środowiskową znaku zachęty:
- Zmienna pozwoli na wizualne odróżnienie serwera
- Przekieruj wyjście do pliku `~/.profile`
- Dzięki temu zmienna będzie ustawiana przy każdym logowaniu",PrzydzielonyHost,"echo ""export PS1='\n\[\033[01;32m\]PrzydzielonyHost\[\033[00m\]: '"" >> ~/.profile"
"Zaczytaj plik `~.profile`, aby już teraz uaktywnić zmienne środowiskowe",PrzydzielonyHost,source ~/.profile
Wyświetl listę procesów,PrzydzielonyHost,ps aux
"Wyświetl listę procesów, które mają w nazwie bash",PrzydzielonyHost,ps aux |grep bash
"Wyświetl listę procesów, które mają w nazwie python",PrzydzielonyHost,ps aux |grep python
Wyświetl listę procesów która będzie się aktualizowała na ekranie,PrzydzielonyHost,htop
GIT - konfiguracja,-,clear
"Ustaw imię i nazwisko dla użytkownika git:
- Możesz pozostawić ""Pan Twardowski"" (postać z legendy polskiej o pierwszym kosmonaucie :)
- Lub wpisać swoje imię i nazwisko
- Podczas szkolenia nie będzie miało to znaczenia",PrzydzielonyHost,"git config --global user.name ""Pan Twardowski"""
"Ustaw adres email dla użytkownika git:
- Możesz pozostawić ""pan.twardowski@polsa.gov.pl""
- Lub wpisać swój email
- Podczas szkolenia nie będzie miało to znaczenia",PrzydzielonyHost,"git config --global user.email ""pan.twardowski@polsa.gov.pl"""
Docker,-,clear
Zainstaluj Docker,PrzydzielonyHost,curl https://get.docker.com |sudo sh
"Sprawdź wersje Docker, która się zainstalowała",PrzydzielonyHost,docker --version
Dodaj użytkownika `ubuntu` do grupy `docker` w systemie operacyjnym,PrzydzielonyHost,sudo usermod -aG docker ubuntu
Wyloguj się z maszyny. Jest to konieczne aby ustawienia grupy zostały zaktualizowane.,PrzydzielonyHost,logout
"Połącz się ponownie do maszyny. Jeżeli korzystasz z Putty to musisz połączyć się tak, jak na początku.",TwójKomputer,ssh -i ~/Desktop/szkolenie.pem -l ubuntu $PRZYDZIELONE_IP
"Uruchom polecenie `id` i upewnij się, że na samym końcu linii jest docker",PrzydzielonyHost,id
Docker - wyszukiwanie obrazów,-,clear
"Wyszukaj obrazu o nazwie `python`:
- Alternatywnie możesz sprawdzić przez stronę internetową
- https://hub.docker.com/
- https://hub.docker.com/search?q=python&type=image
- https://hub.docker.com/_/python",PrzydzielonyHost,docker search python
Wyszukaj obrazu o nazwie `jira`,PrzydzielonyHost,docker search jira
Wyszukaj obrazu o nazwie `java`,PrzydzielonyHost,docker search java
Wyszukaj obrazu o nazwie `openjdk`,PrzydzielonyHost,docker search openjdk
Wyszukaj obrazu o nazwie `gcc`,PrzydzielonyHost,docker search gcc
Wyszukaj obrazu o nazwie `alpine`,PrzydzielonyHost,docker search alpine
Wyszukaj obrazu o nazwie `ubuntu`,PrzydzielonyHost,docker search ubuntu
Wyszukaj obrazu o nazwie `debian`,PrzydzielonyHost,docker search debian
Docker - pobieranie obrazów,-,clear
Pobierz obraz o nazwie `alpine`.,PrzydzielonyHost,docker pull alpine
Pobierz obraz o nazwie `ubuntu`.,PrzydzielonyHost,docker pull ubuntu
Pobierz obraz o nazwie `debian`.,PrzydzielonyHost,docker pull debian
Wyświetl pobrane obrazy.,PrzydzielonyHost,docker images
Docker - pobieranie obrazów w różnych wersjach (tagach),-,clear
Pobierz obraz o nazwie `python`.,PrzydzielonyHost,docker pull python
Pobierz obraz o nazwie `python` i tagu: `alpine`.,PrzydzielonyHost,docker pull python:alpine
Pobierz obraz o nazwie `python` i tagu: `3.10`.,PrzydzielonyHost,docker pull python:3.10
Pobierz obraz o nazwie `python` i tagu: `3.10-alpine`.,PrzydzielonyHost,docker pull python:3.10-alpine
Pobierz obraz o nazwie `python` i tagu: `3.10-bullseye`.,PrzydzielonyHost,docker pull python:3.10-bullseye
Pobierz obraz o nazwie `python` i tagu: `3.10-slim-bullseye`.,PrzydzielonyHost,docker pull python:3.10-slim-bullseye
Pobierz obraz o nazwie `python` i tagu: `3.10-buster`.,PrzydzielonyHost,docker pull python:3.10-buster
Pobierz obraz o nazwie `python` i tagu: `3.10-slim-buster`.,PrzydzielonyHost,docker pull python:3.10-slim-buster
Wyświetl pobrane obrazy i porównaj wielkości obrazów w zależności od systemu operacyjnego.,PrzydzielonyHost,docker images
"Docker - uruchamianie obrazów, tj. tworzenie kontenerów",-,clear
"Uruchom obraz o nazwie `alpine`. Uruchomienie obrazu jest tożsame ze stworzeniem kontenera. Zwróć uwagę, że kontener natychmiast się zamknie. Był stworzony tylko na czas wykonania domyślnego programu (`CMD` lub `ENTRYPOINT`). O tych instrukcjach opowiem później przy omawianiu pliku `Dockerfile`. Wtedy też nayczymy sie to zmieniać. ",PrzydzielonyHost,docker run alpine
"Sprawdź czas uruchamiana obrazu `alpine`. Zwróć uwagę, że docker pozwala uruchomić cały system operacyjny w około pół sekundy czasu rzeczywistego, tj. około 2 setnych sekundy czasu procesora.",PrzydzielonyHost,time docker run alpine
"Sprawdź czas uruchamiana obrazu `ubuntu`. Zwróć uwagę, że `alpine` jest znacznie mniejszy od `ubuntu`, ale czas uruchomienia jednego i drugiego nie różni się znacznie. W obu przypadkach są to ułamki sekund czasu systemowego.",PrzydzielonyHost,time docker run ubuntu
Wyświetl aktualnie działające kontenery.,PrzydzielonyHost,docker ps
"Wyświetl wszystkie kontenery, zarówno działające, jak i te, które już zostały zamknięte.",PrzydzielonyHost,docker ps -a
Docker - tworzenie kontenerów do wykonania poleceń,-,clear
Uruchom obraz o nazwie `alpine` i wykonaj w nim polecenie `echo 'hello world'`.,PrzydzielonyHost,docker run alpine echo 'hello world'
Wyświetl aktualnie działające kontenery.,PrzydzielonyHost,docker ps
"Wyświetl wszystkie kontenery, zarówno działające, jak i te, które już zostały zamknięte.",PrzydzielonyHost,docker ps -a
Docker - wielokrotne tworzenie kontenerów i zarządzanie pozostałościami,-,clear
"Uruchom obraz o nazwie `alpine`, a kontener nazwij `hello`. Po uruchomieniu ma wykonać polecenie `echo 'hello world'`. ",PrzydzielonyHost,docker run --name hello alpine echo 'hello world'
"Wykonaj ponownie to samo polecenie. Tym razem powinno zwrócić błąd, że maszyna o tej nazwie już istnieje.",PrzydzielonyHost,docker run --name hello alpine echo 'hello world'
"Wyświetl pozostałości po kontenerach. Zwróć uwagę, że katalog `/var/lib/docker/containers` ma uprawnienia, które nie pozwalają przeglądać jego zawartości zwykłym użytkownikom i potrzebne jest wykonanie polecenia jako `root` (korzystając z `sudo`).",PrzydzielonyHost,sudo ls /var/lib/docker/containers
Usunięcie pozostałości po maszynie o nazwie `hello`.,PrzydzielonyHost,docker rm hello
"Uruchom obraz o nazwie `alpine`, a kontener nazwij `hello`. Po uruchomieniu ma wykonać polecenie `echo 'hello world'`.",PrzydzielonyHost,docker run --name hello --rm alpine echo 'hello world'
"Uruchom obraz o nazwie `alpine`, a K=kontener nazwij `hello`. Po uruchomieniu ma wykonać polecenie `echo 'hello world'`. Tym razem polecenie nie wyrzuca błędu, gdyż dzieki fladze `--rm` pozostałości po kontenerze `hello` zostały natychmiast usunięte jak tylko się zamknął.",PrzydzielonyHost,docker run --name hello --rm alpine echo 'hello world'
Wyświetl aktualnie działające kontenery.,PrzydzielonyHost,docker ps
"Wyświetl wszystkie kontenery, zarówno działające, jak i te, które już zostały zamknięte.",PrzydzielonyHost,docker ps -a
Docker - tworzenie kontenerów w różnych wersjach,-,clear
Uruchom kontener na podstawie obrazu `python`.,PrzydzielonyHost,docker run python
Uruchom kontener na podstawie obrazu `python` w wersji `3`.,PrzydzielonyHost,docker run python:3
Uruchom kontener na podstawie obrazu `python` w wersji `3.10`.,PrzydzielonyHost,docker run python:3.10
Uruchom kontener na podstawie obrazu `python` w wersji `3.10` na systemie operacyjnym `alpine`.,PrzydzielonyHost,docker run python:3.10-alpine
Wyświetl aktualnie działające kontenery.,PrzydzielonyHost,docker ps
"Wyświetl wszystkie kontenery, zarówno działające, jak i te, które już zostały zamknięte.",PrzydzielonyHost,docker ps -a
Docker - tworzenie kontenerów w różnych wersjach,-,clear
"Uruchom kontener na podstawie obrazu `python` w wersji `3.10` na systemie operacyjnym `alpine`. Wyświetl wersję `python`,",PrzydzielonyHost,docker run python:3.10-alpine python --version
"Uruchom kontener na podstawie obrazu `python` w wersji `3.10` na systemie operacyjnym `alpine`. Wyświetl tekst `hello world`,",PrzydzielonyHost,"docker run python:3.10-alpine python -c 'print(""hello world"")'"
"Uruchom kontener na podstawie obrazu `python` w wersji `3.10` na systemie operacyjnym `alpine`. Wyświetl wersję `python`, korzystając z Pythonowej instrukcji  `sys.version`.",PrzydzielonyHost,docker run python:3.10-alpine python -c 'import sys; print(sys.version)'
Wyświetl aktualnie działające kontenery.,PrzydzielonyHost,docker ps
"Wyświetl wszystkie kontenery, zarówno działające, jak i te, które już zostały zamknięte.",PrzydzielonyHost,docker ps -a
Docker - informacje o jądrze systemu operacyjnego,-,clear
Wyświetl szczegóły na temat kernela w systemie operacyjnym.,PrzydzielonyHost,uname -a
Wyświetl szczegóły na temat kernela w kontenerze `alpine` ,PrzydzielonyHost,docker run alpine uname -a
Wyświetl szczegóły na temat kernela w kontenerze `ubuntu` ,PrzydzielonyHost,docker run ubuntu uname -a
Docker - informacje o systemie operacyjnym,-,clear
Wyświetl informacje na temat wydania systemu operacyjnego,PrzydzielonyHost,cat /etc/os-release
Wyświetl informacje na temat wydania systemu operacyjnego w kontenerze `alpine`.,PrzydzielonyHost,docker run alpine cat /etc/os-release
Wyświetl informacje na temat wydania systemu operacyjnego w kontenerze `ubuntu`.,PrzydzielonyHost,docker run ubuntu cat /etc/os-release
Docker - tryb interaktywny,-,clear
"Uruchom kontener na podstawie obrazu `bash`, tak by wyświetlił `hello world` na ekranie.",PrzydzielonyHost,docker run bash echo 'hello world'
"Uruchom kontener na podstawie obrazu `bash` w trybie interaktywnym, tj. z możliwością wpisywania poleceń. Zwróć uwagę, że znak zachęty (prompt) się zmienił i wygląda teraz inaczej. Jest to zależne od konfiguracji interpretera w systemie operacyjnym. Aby wyjść z maszyny trzeba zakończyć proces (wpisać `exit`) lub przerwać proces (skrót klawiszowy `ctrl-d`). Zwróć uwagę, że wszystkie zmiany, które dokonasz na kontenerze zostaną usunięte po jego zamknięciu. Zwróć uwagę, że prawie wszystkie kontenery w świecie dockerowym nie mają SSH i poza dockerem nie da się do nich połączyć. To dodatkowo podnosi bezpieczeństwo tego rozwiązania.",PrzydzielonyHost,docker run -it bash
Zdefiniuj zmienną `text` o wartości `hello world`,Kontener,text='hello world'
Wypisz `hello world` na ekranie.,Kontener,echo $text
"Wyjdź z interpretera. Spowoduje to zamknięcie kontenera. Zwróć uwagę, że wszystkie zmiany, które dokonasz na kontenerze zostaną usunięte po jego zamknięciu.",Kontener,exit
"Uruchom kontener na podstawie obrazu `python:3.10` w trybie interaktywnym. Jesteś teraz w interaktywnej konsoli Pythona i możesz tu wykonać dowole instrukcje w tym języku.
 Zwróć uwagę, że znak zachęty (prompt) się zmienił i wygląda teraz inaczej. Aby wyjść z maszyny trzeba zakończyć proces (wpisać `exit()`) lub przerwać proces (skrót klawiszowy `ctrl-d`).",PrzydzielonyHost,docker run -it python:3.10
Zdefiniuj zmienną `text` o wartości `hello world`,Kontener,text = 'hello world'
Wypisz zmienną `text` na ekranie,Kontener,print(text)
"Wyjdź z interpretera. Spowoduje to zamknięcie kontenera. Zwróć uwagę, że wszystkie zmiany, które dokonasz na kontenerze zostaną usunięte po jego zamknięciu.",Kontener,exit()
Docker - tworzenie aliasów poleceń,-,clear
Stwórz alias `run_python` uruchamiający obraz `python:3.10` w trybie interaktywnym.,PrzydzielonyHost,alias run_python='docker run -it python:3.10'
Uruchom kontener za pomocą aliasu `run_python`.,Kontener,run_python
Wypisz `hello world` na ekranie.,Kontener,print('hello world')
Wyjdź z interpretera. ,Kontener,exit()
Usuń alias `run_python`.,PrzydzielonyHost,unalias run_python
Stwórz alias `run_java` uruchamiający obraz `openjdk:16-jdk-alpine` w trybie interaktywnym.,PrzydzielonyHost,alias run_java='docker run -it openjdk:16-jdk-alpine'
Uruchom kontener za pomocą aliasu `run_python`.,PrzydzielonyHost,run_java
Wypisz na ekranie `hello world`.,Kontener,"System.out.println(""hello world"");"
Wyjdź z kontenera za pomocą skrótu klawiszowego `ctrl+d`.,Kontener,# ctrl+d
Usuń alias `run_java`,PrzydzielonyHost,unalias java
Docker - zatrzymywanie kontenerów,-,clear
"Uruchom kontener w tle, na podstawie obrazu `bash` i nazwij go `myshell`. ",PrzydzielonyHost,docker run -d --rm -it --name myshell bash
Wyświetl aktualnie działające kontenery. Kontener `myshell` jest aktualnie uruchomiony.,,docker ps
"To polecenie może trwać około 10-15 sekund. `docker stop` pozwala procesowi na zakończenie wszystkich zadań i samodzielne wyłączenie się. Przydatne jak np. mamy bazę danych i chcemy aby wszystkie informacje przed zamknięciem bezpiecznie się zapisały, a podłączeni klienci się rozłączyli.",PrzydzielonyHost,docker stop myshell
"Wyświetl aktualnie działające kontenery. Zwróć uwagę, że tym razem nie ma działającego kontenera `myshell`.",PrzydzielonyHost,docker ps
"Wyświetl wszystkie kontenery, zarówno działające, jak i te, które już zostały zamknięte. Zwróć uwagę, że kontener `myshell` znajduje się na tej liście jako zamknięty.",PrzydzielonyHost,docker ps -a
Docker - ubijanie kontenerów,-,clear
"Uruchom kontener w tle, na podstawie obrazu `bash` i nazwij go `myshell`. ",PrzydzielonyHost,docker run -d --rm -it --name myshell bash
Wyświetl aktualnie działające kontenery. Kontener `myshell` jest aktualnie uruchomiony.,PrzydzielonyHost,docker ps
"To polecenie powinno wykonać się błyskawicznie. `docker kill` nie pozwala procesowi na skończenie czegokolwiek, tylko natychmiast odcina kontener od kernela. Jest to przydatne jeżeli proces np. się zawiesi i przestanie odpowiadać.Poza bazami danych i procesami, które zapisują na dysk nie musimy się martwić o skracanie życia kontenerom. Docker daje nam bardzo łatwą możliwość ponownego stworzenia identycznego kontenera. Dlatego w świecie dockerowym ""nie naprawia"" się niedziałających kontenerów, tylko ubija i stawia nowe w ich miejsce.",PrzydzielonyHost,docker kill myshell
Docker - wysyłanie kontenerów do tła i przywracanie,-,clear
Uruchom kontener na podstawie obrazu `bash` i nazwij go `myshell`. ,PrzydzielonyHost,docker run --rm -it --name myshell bash
"Użycie skrótu klawiszowego `ctrl+p+q` (proces quit) przeniesie proces do tła (czyli go nie zakończy, ale tylko ukryje). Istnieje możliwość przywracania procesów z tła.",Kontener,# ctrl+p+q
"Wyświetl aktualnie działające kontenery. Zwróć uwagę, że wśród działających kontenerów jest `myshell`.",PrzydzielonyHost,docker ps
Przywróć kontener z tła.,PrzydzielonyHost,docker attach myshell
Zamknij kontener,Kontener,exit
"Wyświetl aktualnie działające kontenery. Zwróć uwagę, że tym razem nie ma działającego kontenera `myshell`.",PrzydzielonyHost,docker ps
"Wyświetl wszystkie kontenery, zarówno działające, jak i te, które już zostały zamknięte. Zwróć uwagę, że kontener `myshell` znajduje się na tej liście jako zamknięty.",PrzydzielonyHost,docker ps -a
"Uruchom kontener w tle, na podstawie obrazu `bash` i nazwij go `myshell`. ",PrzydzielonyHost,docker run --rm -it -d --name myshell bash
Przywróć kontener z tła.,PrzydzielonyHost,docker attach myshell
Zamknij kontener,Kontener,exit
Docker - łączenie się do działających kontenerów,-,clear
"Uruchom kontener na podstawie obrazu `alpine` i nazwij go `sleeper`, ma wykonać polecenie `sleep 3600` (tj. zaczekaj godzinę, wartość jest w sekundach).",PrzydzielonyHost,docker run --rm -d --name sleeper alpine sleep 1000
`docker exec` pozwala na podłączenie się do działającej instancji i wykonanie polecenia (tu uruchomienie interaktywnego terminala `sh`). `docker exec` otworzy nowy proces w tej maszynie (a nie podłączy się do już działającego). ,PrzydzielonyHost,docker exec -it sleeper sh
"Polecenie `ps aux` powinno wylistować wszystkie procesy działające na maszynie. Jednym z nich powinien być proces `sleep 3600`, z `PID` (proces ID) równym 1 (to jest nasz główny proces). Jego zakończenie na maszynie (tj. upłynięcie 3600 sekund) zamknie kontener. Jakiekolwiek sesje utworzone w międzyczasie zostaną również zamknięte, nawet jeżeli były aktywne i coś wykonywały.",Kontener,ps aux
"Zamknij dodatkową sesję z kontenerem. Dopiero jak główny proces na maszynie się zakończy, to Docker zamyka kontener. Dlatego można bezpiecznie wyjść z maszyny, np. za pomocą `exit` co nie zamknie pierwotnego procesu i jednocześnie maszyny.",Kontener,exit
"Wyświetl aktualnie działające kontenery. Zwróć uwagę, że kontener `sleeper` nadal jest aktywny.",PrzydzielonyHost,docker ps
Zabij kontener `sleeper`,PrzydzielonyHost,docker kill sleeper
Docker - introspekcja działających kontenerów,-,clear
"Uruchom kontener na podstawie obrazu `alpine` i nazwij go `sleeper`, ma wykonać polecenie `sleep 3600` (tj. zaczekaj godzinę, wartość jest w sekundach).",PrzydzielonyHost,docker run --rm -d --name sleeper alpine sleep 1000
"Wyświetli opcje konfiguracyjne (sieciowe, ścieżki itp) kontenera. Zwróć uwagę, że wynik jest w formacie JSON, czyli można go łatwo sparsować.",PrzydzielonyHost,docker inspect sleeper
Wyświetl procesy wewnątrz kontenera `sleeper`.,PrzydzielonyHost,docker top sleeper
Wyświetl wszystkie logi aktualnego procesu działającego w kontenerze `sleeper`.,PrzydzielonyHost,docker logs sleeper
Wyświetl 5 ostatnich linii logów aktualnego procesu działającego w kontenerze `sleeper`.,PrzydzielonyHost,docker logs -n5 sleeper
"Wyświetl logi aktualnego procesu działającego w kontenerze `sleeper` w trybie ciągłym, tzn. że za każdym razem kiedy proces dopisze coś do logów, to automatycznie wyświetli się na ekranie. ",PrzydzielonyHost,docker logs -f sleeper
Z trybu tego wychodzi się za pomocą skrótu klawiszowego `ctrl+c`. Nie spowoduje to zamknięcia procesu ani kontenera.,Kontener,# ctrl+c
Zabij kontener `sleeper`,PrzydzielonyHost,docker kill sleeper
Docker - usuwanie wszystkich kontenerów,-,clear
Wyświetl aktualnie działające kontenery.,PrzydzielonyHost,docker ps
"Wyświetl wszystkie kontenery, zarówno działające, jak i te, które już zostały zamknięte.",PrzydzielonyHost,docker ps -a
"Wyświetl numery ID kontenerów, zarówno działających, jak i tych, które zostały już zamknięte.",PrzydzielonyHost,docker ps -aq
"Przekaż wynik polecenia `docker ps -aq` do `docker rm`. Usunie to wszystkie kontenery. `docker rm` bez flagi `-f` nie usuwa działających kontenerów. Wykonanie jest bezpieczne i usunie tylko kontenery, które nie są uruchomione.",PrzydzielonyHost,docker rm $(docker ps -aq)
"Wyświetl numery ID kontenerów, zarówno działających, jak i tych, które zostały już zamknięte. Zwróć uwagę, że lista jest pusta.",PrzydzielonyHost,docker ps -a
Docker - usuwanie wszystkich obrazów,-,clear
Wyświetl wszystkie pobrane obrazy.,PrzydzielonyHost,docker images
Wyświetl numery ID wszystkich pobranych obrazów.,PrzydzielonyHost,docker images -q
Usuń obraz `alpine`.,PrzydzielonyHost,docker rmi alpine
"Polecenie usuwa wszystkie obrazy. Może się zdarzyć, że niektóre obrazy wzajemnie się wskazują i nie będzie możliwe ich łatwe usunięcie. Wystąpi wtedy tzw. konflikt. Konflikty występują również, jeżeli aktualnie jest uruchomiony kontener na podstawie obrazu. Wtedy należy usunąć je z przełącznikiem `-f` tzw. force.",PrzydzielonyHost,docker rmi $(docker images -q)
"Wyświetl wszystkie pobrane obrazy. Zauważ, że lista jest prawie pusta. Pozostało kilka obrazów, przy usuwaniu których wystąpiły konflikty.",PrzydzielonyHost,docker images
"Usuń wszystkie obrazy ""siłowo"", nawet jeżeli pojawiły się konflikty.",PrzydzielonyHost,docker rmi -f $(docker images -q)
"Wyświetl wszystkie pobrane obrazy. Zauważ, że lista jest pusta.",PrzydzielonyHost,docker images
Docker - zmienne środowiskowe z linii poleceń,-,clear
,PrzydzielonyHost,docker run -it alpine env
,PrzydzielonyHost,docker run -it -e NAME='Mark Watney' alpine
,Kontener,env
,Kontener,exit
,PrzydzielonyHost,docker run -it -e NAME='Mark Watney' alpine env
,PrzydzielonyHost,docker run -it --env NAME='Mark Watney' alpine env
,PrzydzielonyHost,docker run -it -e FIRSTNAME='Mark' -e LASTNAME='Watney' alpine env
,PrzydzielonyHost,docker run -it -e DB_NAME='astronauts' -e DB_USER='markwatney' -e DB_PASSWORD='myVoiceIsMyPassword' -e DB_HOST='localhost' -e DB_PORT=5432 -e STAGE='prod' alpine env
,PrzydzielonyHost,docker run -it -e DB_NAME='astronauts' -e DB_USER='markwatney' -e DB_PASSWORD='myVoiceIsMyPassword' -e DB_HOST='localhost' -e DB_PORT=5432 -e STAGE='prod' alpine env |sort
Docker - zmienne środowiskowe z pliku .env,PrzydzielonyHost,clear
,PrzydzielonyHost,clear
,PrzydzielonyHost,sudo mkdir /home/docker
,PrzydzielonyHost,sudo chown ubuntu:ubuntu /home/docker
,PrzydzielonyHost,cd /home/docker
,PrzydzielonyHost,"vim /home/docker/test.env

# Przejście do trybu edycji klawisz `a`
# Wpisz treść:

STAGE='test'
DB_NAME=test
DB_USER=test
DB_PASSWORD=test
DB_HOST=localhost
DB_PORT=1337

# Aby zapisać i wyjść: wciśnij klawisz `Esc` a później wpisz `:wq` (wq - write and quit)
# Litery pojawią się na dole ekranu w pasku statusu"
,PrzydzielonyHost,"vim /home/docker/prod.env

# Przejście do trybu edycji klawisz `a`
# Wpisz treść:

STAGE='prod'
DB_NAME=astronauts
DB_USER=markwatney
DB_PASSWORD=myVoiceIsMyPassword
DB_HOST=localhost
DB_PORT=5432

# Aby zapisać i wyjść: wciśnij klawisz `Esc` a później wpisz `:wq` (wq - write and quit)
# Litery pojawią się na dole ekranu w pasku statusu"
,PrzydzielonyHost,cat /home/docker/test.env
,PrzydzielonyHost,cat /home/docker/prod.env
,PrzydzielonyHost,docker run --env-file=/home/docker/test.env -it alpine env
,PrzydzielonyHost,docker run --env-file=/home/docker/prod.env -it alpine env
Docker - konfiguracja sieci,PrzydzielonyHost,clear
,PrzydzielonyHost,docker run -d -it --rm --name host1 alpine
,PrzydzielonyHost,docker run -d -it --rm --name host2 alpine
,PrzydzielonyHost,docker exec host1 ifconfig
,PrzydzielonyHost,docker exec host2 ifconfig
,PrzydzielonyHost,ping -c4 172.17.0.2
,PrzydzielonyHost,ping -c4 172.17.0.3
,PrzydzielonyHost,ping -c4 host1
,PrzydzielonyHost,ping -c4 host2
,PrzydzielonyHost,docker exec host1 ping -c4 172.17.0.2
,PrzydzielonyHost,docker exec host2 ping -c4 172.17.0.3
,PrzydzielonyHost,docker network create mynetwork
,PrzydzielonyHost,docker network ls
,PrzydzielonyHost,"docker network inspect mynetwork

# Zwróć uwagę, że to JSON"
,PrzydzielonyHost,"docker exec host1 ping -c4 host2

# powinno zwrócić: `ping: bad address 'host2'`"
,PrzydzielonyHost,docker network connect mynetwork host1
,PrzydzielonyHost,docker network connect mynetwork host2
,PrzydzielonyHost,docker exec host1 ping -c4 host2
,PrzydzielonyHost,docker exec host2 ping -c4 host1
,PrzydzielonyHost,ping -c4 host1
,PrzydzielonyHost,ping -c4 host2
,PrzydzielonyHost,docker run -d -it --rm --name host3 --network mynetwork alpine
,PrzydzielonyHost,docker ps
,PrzydzielonyHost,docker exec host1 ping -c4 host3
,PrzydzielonyHost,docker exec host3 ping -c4 host1
,PrzydzielonyHost,docker exec host3 ping -c4 host2
,PrzydzielonyHost,docker network inspect mynetwork
,PrzydzielonyHost,docker kill host1 host2 host3
,PrzydzielonyHost,docker network rm mynetwork
Docker - konfiguracja udostępniania portów sieciowych,PrzydzielonyHost,clear
,PrzydzielonyHost,"docker run -p 8000:80 alpine

# Przypisz port 80 z kontenera
# do portu 8000 maszyny hosta
# na wszystkich interfejsach"
,PrzydzielonyHost,"docker run -p 127.0.0.1:8000:80 alpine

# Przypisz port 80 z kontenera
# do portu 8000 maszyny hosta
# na interfejsie 127.0.0.1 (loopback)"
,PrzydzielonyHost,docker run -p 8000:8000 alpine
,PrzydzielonyHost,docker run -p 8000:8000 -p 9000:9000 alpine
,PrzydzielonyHost,docker run -p 8000:8000 -p 9000:9000 -p 127.0.0.1:8000:80 alpine
,PrzydzielonyHost,docker run -d --rm -p 8000:8000 alpine sleep 100
,PrzydzielonyHost,docker ps
,PrzydzielonyHost,docker run -p 8000:8000 -p 9000:9000 -p 127.0.0.1:8000:80 -d alpine sleep 100
,PrzydzielonyHost,docker ps
,PrzydzielonyHost,docker run -p 127.0.0.1:8000:80/udp -d alpine sleep 100
,PrzydzielonyHost,docker ps
,PrzydzielonyHost,docker rm $(docker ps -aq)
Docker - montowanie plików,PrzydzielonyHost,clear
,PrzydzielonyHost,clear
,PrzydzielonyHost,sudo mkdir /home/src
,PrzydzielonyHost,cd /home/src/
,PrzydzielonyHost,echo 'hello' > /home/src/myfile.txt
,PrzydzielonyHost,docker run -it -v /home/src/myfile.txt:/data/hello.txt alpine
,Kontener,date > /data/hello.txt
,Kontener,exit
,PrzydzielonyHost,cat /home/docker/myfile.txt
,PrzydzielonyHost,docker run -it -v /home/src/myfile.txt:/data/hello.txt:ro alpine
,Kontener,"date > /data/hello.txt

# Read-only file system"
,Kontener,exit
Docker - montowanie katalogów,PrzydzielonyHost,clear
,PrzydzielonyHost,clear
,PrzydzielonyHost,docker run -it -v /home/src:/data alpine
,Kontener,ls /data/
,Kontener,echo 'hello world' > /data/hello.txt
,Kontener,exit
,PrzydzielonyHost,cat /home/src/hello.txt
,PrzydzielonyHost,docker run -it -v /home/src:/data:ro alpine
,Kontener,"date > /data/hello.txt

# Read-only file system"
,PrzydzielonyHost,"vim myscript.py

# Przejście do trybu edycji klawisz `a`
# Wpisz treść:

name = 'Mark Watney'
print(name)

# Aby zapisać i wyjść: wciśnij klawisz `Esc` a później wpisz `:wq` (wq - write and quit)
# Litery pojawią się na dole ekranu w pasku statusu"
,PrzydzielonyHost,docker run -v /home/src:/data python:3.10-alpine python /data/myscript.py
,PrzydzielonyHost,pwd
